name	type	units	sampling_frequency
FP1-REF	EEG	uV	250                
FP2-REF	EEG	uV	250                
F3-REF	EEG	uV	250                 
F4-REF	EEG	uV	250                 
C3-REF	EEG	uV	250                 
C4-REF	EEG	uV	250                 
P3-REF	EEG	uV	250                 
P4-REF	EEG	uV	250                 
O1-REF	EEG	uV	250                 
O2-REF	EEG	uV	250                 
F7-REF	EEG	uV	250                 
F8-REF	EEG	uV	250                 
T3-REF	EEG	uV	250                 
T4-REF	EEG	uV	250                 
T5-REF	EEG	uV	250                 
T6-REF	EEG	uV	250                 
A1-REF	EEG	uV	250                 
A2-REF	EEG	uV	250                 
FZ-REF	EEG	uV	250                 
CZ-REF	EEG	uV	250                 
PZ-REF	EEG	uV	250                 
ROC-REF	EEG	uV	250                
LOC-REF	EEG	uV	250                
EMG-REF	EEG	uV	250                
26-REF	EEG	uV	250                 
27-REF	EEG	uV	250                 
28-REF	EEG	uV	250                 
29-REF	EEG	uV	250                 
30-REF	EEG	uV	250                 
T1-REF	EEG	uV	250                 
T2-REF	EEG	uV	250                 
REF	EEG	n/a	250                   
EKG1-REF	EEG	uV	250               
PHOTIC-REF	EEG	uV	250             
